# h,	 diff2,	 error2,	 truncation error,	 error4,	 error without_a diff
1.00000000000000006e-01,	2.24263171106450754e+04,	5.87057097387380054e+02,	2.42464493074941941e-11,	1.89944758663914399e+01,	5.77738934231678286e+02
5.00000000000000028e-02,	2.19851465476243357e+04,	1.45886534366640262e+02,	4.84928986149883882e-11,	1.17031997360390960e+00,	1.45304153791468707e+02
2.50000000000000014e-02,	2.18756769836635613e+04,	3.64169704058658681e+01,	9.69857972299767764e-11,	7.28842477255966514e-02,	3.63805716380084050e+01
1.25000000000000007e-02,	2.18483608424590057e+04,	9.10082920131026185e+00,	1.93971594459953553e-10,	4.55120021433685906e-03,	9.09855427843649522e+00
6.25000000000000035e-03,	2.18415350072682486e+04,	2.27499401055320050e+00,	3.87943188919907106e-10,	2.84386365819955245e-04,	2.27485182776217698e+00
3.12500000000000017e-03,	2.18398287484307366e+04,	5.68735173041204689e-01,	7.75886377839814211e-10,	1.77727961272466928e-05,	5.68726286321179941e-01
1.56250000000000009e-03,	2.18394021962175611e+04,	1.42182959865749581e-01,	1.55177275567962842e-09,	1.11143526737578213e-06,	1.42182404681079788e-01
7.81250000000000043e-04,	2.18392955589445774e+04,	3.55456868819601368e-02,	3.10354551135925684e-09,	7.09733285475522280e-08,	3.55456532379321288e-02
3.90625000000000022e-04,	2.18392688996787183e+04,	8.88642102290759794e-03,	6.20709102271851369e-09,	5.42058842256665230e-10,	8.88641655910760164e-03
1.95312500000000011e-04,	2.18392622348689474e+04,	2.22161125202546827e-03,	1.24141820454370274e-08,	8.77116690389811993e-09,	2.22160434350371361e-03
9.76562500000000054e-05,	2.18392605686513707e+04,	5.55393675313098356e-04,	2.48283640908740548e-08,	1.45118974614888430e-08,	5.55401100427843630e-04
4.88281250000000027e-05,	2.18392601520940661e+04,	1.38836370751960203e-04,	4.96567281817481095e-08,	1.45118974614888430e-08,	1.38850275106960908e-04
2.44140625000000014e-05,	2.18392600480094552e+04,	3.47517598129343241e-05,	9.93134563634962190e-08,	5.06806827615946531e-08,	3.47125715052243322e-05
1.22070312500000007e-05,	2.18392600220441818e+04,	8.78648643265478313e-06,	1.98626912726992438e-07,	1.06560037238523364e-07,	8.67814742377959192e-06
6.10351562500000034e-06,	2.18392600152641535e+04,	2.00645808945409954e-06,	3.97253825453984876e-07,	2.28716089623048902e-07,	2.16953412746079266e-06
3.05175781250000017e-06,	2.18392600134015083e+04,	1.43812940223142505e-07,	7.94507650907969752e-07,	4.52233507530763745e-07,	5.42382622370496392e-07
1.52587890625000008e-06,	2.18392600139975548e+04,	7.39859387977048755e-07,	1.58901530181593950e-06,	7.39859387977048755e-07,	1.35594746097922325e-07
7.62939453125000042e-07,	2.18392600148916245e+04,	1.63392905960790813e-06,	3.17803060363187901e-06,	1.63392905960790813e-06,	3.38986865244805813e-08
3.81469726562500021e-07,	2.18392600119113922e+04,	1.34630317916162312e-06,	6.35606120726375802e-06,	2.53839607466943562e-06,	8.48012859933078289e-09
1.90734863281250011e-07,	2.18392600083351135e+04,	4.92258186568506062e-06,	1.27121224145275160e-05,	4.92258186568506062e-06,	2.12094164453446865e-09
9.53674316406250053e-08,	2.18392600154876709e+04,	2.22997550736181438e-06,	2.54242448290550321e-05,	2.22997550736181438e-06,	5.34782884642481804e-10
4.76837158203125026e-08,	2.18392600345611572e+04,	2.13034618354868144e-05,	5.08484896581100641e-05,	3.08402049995493144e-05,	1.34605215862393379e-10
2.38418579101562513e-08,	2.18392599868774414e+04,	2.63802539848256856e-05,	1.01696979316220128e-04,	4.54537403129506856e-05,	3.27418092638254166e-11
1.19209289550781257e-08,	2.18392599105834961e+04,	1.02674199297325686e-04,	2.03393958632440257e-04,	1.40821171953575686e-04,	1.09139364212751389e-11
5.96046447753906283e-09,	2.18392601776123047e+04,	1.64354609296424314e-04,	4.06787917264880513e-04,	2.40648554608924314e-04,	3.63797880709171295e-12
2.98023223876953142e-09,	2.18392604064941406e+04,	3.93236445233924314e-04,	8.13575834529761026e-04,	3.93236445233924314e-04,	3.63797880709171295e-12
1.49011611938476571e-09,	2.18392596435546875e+04,	3.69703007891075686e-04,	1.62715166905952205e-03,	6.74878789141075686e-04,	3.63797880709171295e-12
7.45058059692382854e-10,	2.18392590332031250e+04,	9.80054570391075686e-04,	3.25430333811904410e-03,	1.59040613289107569e-03,	3.63797880709171295e-12
3.72529029846191427e-10,	2.18392614746093750e+04,	1.46135167960892431e-03,	6.50860667623808821e-03,	2.68205480460892431e-03,	3.63797880709171295e-12
1.86264514923095713e-10,	2.18392651367187500e+04,	5.12346105460892431e-03,	1.30172133524761764e-02,	7.56486730460892431e-03,	3.63797880709171295e-12
