# h,	 diff2,	 error2,	 truncation error,	 error4,	 error without_a diff
1.000000000000000055511e-01,	2.242631711064506491304e+04,	5.870570973873692821599e+02,	1.183908657592489932836e-14,	1.899447586640472529496e+01,	5.777389342316752145479e+02
5.000000000000000277556e-02,	2.198514654762431861812e+04,	1.458865343666229872355e+02,	2.367817315184979865673e-14,	1.170319973626988030446e+00,	1.453041537914650493946e+02
2.500000000000000138778e-02,	2.187567698366359123696e+04,	3.641697040589560607771e+01,	4.735634630369959731346e-14,	7.288424768139556420010e-02,	3.638057163800318249969e+01
1.250000000000000069389e-02,	2.184836084245905375134e+04,	9.100829201358120457144e+00,	9.471269260739919462691e-14,	4.551200155587409312830e-03,	9.098554278435369013778e+00
6.250000000000000346945e-03,	2.184153500726814239563e+04,	2.274994010446764747257e+00,	1.894253852147983892538e-13,	2.843865249051447108286e-04,	2.274851827764384992747e+00
3.125000000000000173472e-03,	2.183982874843043283519e+04,	5.687351727372043086461e-01,	3.788507704295967785076e-13,	1.777316713180709939479e-05,	5.687262863196238527053e-01
1.562500000000000086736e-03,	2.183940219621777437098e+04,	1.421829600787400949002e-01,	7.577015408591935570153e-13,	1.110808598880907993589e-06,	1.421824046776869465702e-01
7.812500000000000433681e-04,	2.183929555894564650131e+04,	3.554568795087043042713e-02,	1.515403081718387114031e-12,	6.942636510132160765352e-08,	3.554565323821456956921e-02
3.906250000000000216840e-04,	2.183926889967642913959e+04,	8.886418733508705258828e-03,	3.030806163436774228061e-12,	4.340650505696430627722e-09,	8.886416563857579831165e-03
1.953125000000000108420e-04,	2.183926223486217274328e+04,	2.221604477112393283278e-03,	6.061612326873548456122e-12,	2.752091887714414042421e-10,	2.221604344358141247540e-03
9.765625000000000542101e-05,	2.183926056865879551694e+04,	5.554010998860547942968e-04,	1.212322465374709691224e-11,	2.509814578388613881543e-11,	5.554010988024771222626e-04
4.882812500000000271051e-05,	2.183926015210797565302e+04,	1.388502800221402821990e-04,	2.424644930749419382449e-11,	6.734168778166349511594e-12,	1.388502754959830554071e-04
2.441406250000000135525e-05,	2.183926004797028205573e+04,	3.471258642484542633611e-05,	4.849289861498838764898e-11,	2.037658930476027308032e-11,	3.471256892240148772544e-05
1.220703125000000067763e-05,	2.183926002193578703370e+04,	8.678091402813947752293e-06,	9.698579722997677529796e-11,	5.238298683707398595288e-11,	8.678142233264907190460e-06
6.103515625000000338813e-06,	2.183926001542717009940e+04,	2.169474468516341403301e-06,	1.939715944599535505959e-10,	1.069526689434496802278e-10,	2.169535559204405217315e-06
3.051757812500000169407e-06,	2.183926001380015683750e+04,	5.424612066207146199304e-07,	3.879431889199071011918e-10,	1.113260594820530968718e-10,	5.423838906892797240289e-07
1.525878906250000084703e-06,	2.183926001339350356645e+04,	1.358079355640029461938e-07,	7.758863778398142023837e-10,	1.840856356238873559050e-10,	1.355959735604983507073e-07
7.629394531250000423516e-07,	2.183926001329120360239e+04,	3.350797150858397799311e-08,	1.551772755679628404767e-09,	2.524718212271181982942e-10,	3.389899205785695812665e-08
3.814697265625000211758e-07,	2.183926001326530119329e+04,	7.605562402090981777292e-09,	3.103545511359256809535e-09,	1.125586734929129306693e-09,	8.474748014464239531662e-09
1.907348632812500105879e-07,	2.183926001326297288685e+04,	5.277255965552285488229e-09,	6.207091022718513619069e-09,	4.113102747282937343698e-09,	2.118689224062109133229e-09
9.536743164062500529396e-08,	2.183926001326180873363e+04,	4.113102747282937343698e-09,	1.241418204543702723814e-08,	4.113102747282937343698e-09,	5.296723060155272833072e-10
4.768371582031250264698e-08,	2.183926001324783889501e+04,	9.856735871949240390677e-09,	2.482836409087405447628e-08,	1.451334874502663296880e-08,	1.324167442362522706389e-10
2.384185791015625132349e-08,	2.183926001324318228214e+04,	1.451334874502663296880e-08,	4.965672818174810895255e-08,	1.451334874502663296880e-08,	3.310418605906306765974e-11
1.192092895507812566174e-08,	2.183926001327112195938e+04,	1.342632849343772249995e-08,	9.931345636349621790511e-08,	1.342632849343772249995e-08,	8.274270157926366664469e-12
5.960464477539062830872e-09,	2.183926001336425421684e+04,	1.065585859549855740624e-07,	1.986269127269924358102e-07,	1.438114889396047146874e-07,	2.067679361061891540885e-12
2.980232238769531415436e-09,	2.183926001317798970192e+04,	7.970592896811012906255e-08,	3.972538254539848716204e-07,	1.542117349373484103126e-07,	5.186961971048731356859e-13
1.490116119384765707718e-09,	2.183926001295447228401e+04,	3.032233468758249728126e-07,	7.945076509079697432409e-07,	4.522349588143015353126e-07,	1.296740492762182839215e-13
7.450580596923828538590e-10,	2.183926001369953034370e+04,	4.418347128165578396874e-07,	1.589015301815939486482e-06,	7.398579366935109646874e-07,	3.197442310920450836420e-14
3.725290298461914269295e-10,	2.183926001429557679145e+04,	1.037881160570464089687e-06,	3.178030603631878972963e-06,	1.037881160570464089687e-06,	7.105427357601001858711e-15
1.862645149230957134648e-10,	2.183926001071929810493e+04,	2.538397525952973410313e-06,	6.356061207263757945927e-06,	3.730490421460785910313e-06,	1.776356839400250464678e-15
