# h,	 diff2,	 error2,	 truncation error,	 error4,	 error without_a diff
1.000000015e-01,	2.242632031e+04,	5.870605469e+02,	1.301721297e-02,	1.899218750e+01,	5.777382812e+02
5.000000075e-02,	2.198513672e+04,	1.458769531e+02,	2.603442594e-02,	1.179687500e+00,	1.453046875e+02
2.500000037e-02,	2.187565430e+04,	3.639453125e+01,	5.206885189e-02,	9.960937500e-02,	3.638085938e+01
1.250000019e-02,	2.184841797e+04,	9.158203125e+00,	1.041377038e-01,	5.664062500e-02,	9.099609375e+00
6.250000093e-03,	2.184160156e+04,	2.341796875e+00,	2.082754076e-01,	7.617187500e-02,	2.275390625e+00
3.125000047e-03,	2.183976562e+04,	5.058593750e-01,	4.165508151e-01,	1.191406250e-01,	5.703125000e-01
1.562500023e-03,	2.183921875e+04,	4.101562500e-02,	8.331016302e-01,	3.535156250e-01,	1.406250000e-01
7.812500116e-04,	2.184000000e+04,	7.402343750e-01,	1.666203260e+00,	1.052734375e+00,	3.710937500e-02
3.906250058e-04,	2.184125000e+04,	1.990234375e+00,	3.332406521e+00,	2.615234375e+00,	7.812500000e-03
1.953125029e-04,	2.183750000e+04,	1.759765625e+00,	6.664813042e+00,	3.009765625e+00,	1.953125000e-03
9.765625146e-05,	2.183500000e+04,	4.259765625e+00,	1.332962608e+01,	6.759765625e+00,	0.000000000e+00
4.882812573e-05,	2.185000000e+04,	1.074023438e+01,	2.665925217e+01,	1.574023438e+01,	0.000000000e+00
2.441406286e-05,	2.187000000e+04,	3.074023438e+01,	5.331850433e+01,	4.074023438e+01,	0.000000000e+00
1.220703143e-05,	2.180000000e+04,	3.925976562e+01,	1.066370087e+02,	5.925976562e+01,	0.000000000e+00
6.103515716e-06,	2.176000000e+04,	7.925976562e+01,	2.132740173e+02,	7.925976562e+01,	0.000000000e+00
3.051757858e-06,	2.200000000e+04,	1.607402344e+02,	4.265480347e+02,	2.407402344e+02,	0.000000000e+00
1.525878929e-06,	2.208000000e+04,	2.407402344e+02,	8.530960693e+02,	2.407402344e+02,	0.000000000e+00
7.629394645e-07,	2.144000000e+04,	3.992597656e+02,	1.706192139e+03,	3.992597656e+02,	0.000000000e+00
3.814697322e-07,	2.048000000e+04,	1.359259766e+03,	3.412384277e+03,	1.999259766e+03,	0.000000000e+00
1.907348661e-07,	2.432000000e+04,	2.480740234e+03,	6.824768555e+03,	3.760740234e+03,	0.000000000e+00
9.536743306e-08,	2.560000000e+04,	3.760740234e+03,	1.364953711e+04,	6.320740234e+03,	0.000000000e+00
4.768371653e-08,	1.536000000e+04,	6.479259766e+03,	2.729907422e+04,	1.159925977e+04,	0.000000000e+00
2.384185827e-08,	0.000000000e+00,	2.183925977e+04,	5.459814844e+04,	3.207925977e+04,	0.000000000e+00
1.192092913e-08,	0.000000000e+00,	2.183925977e+04,	1.091962969e+05,	2.183925977e+04,	0.000000000e+00
5.960464566e-09,	0.000000000e+00,	2.183925977e+04,	2.183925938e+05,	2.183925977e+04,	0.000000000e+00
2.980232283e-09,	0.000000000e+00,	2.183925977e+04,	4.367851875e+05,	2.183925977e+04,	0.000000000e+00
1.490116142e-09,	0.000000000e+00,	2.183925977e+04,	8.735703750e+05,	2.183925977e+04,	0.000000000e+00
7.450580708e-10,	0.000000000e+00,	2.183925977e+04,	1.747140750e+06,	2.183925977e+04,	0.000000000e+00
3.725290354e-10,	0.000000000e+00,	2.183925977e+04,	3.494281500e+06,	2.183925977e+04,	0.000000000e+00
1.862645177e-10,	0.000000000e+00,	2.183925977e+04,	6.988563000e+06,	2.183925977e+04,	0.000000000e+00
